id_mpio_postal;zona_postal;codigo_postal;id_mpio
293;1940;194037;19397
294;5200;520004;52001
295;2050;205017;20011
296;1502;150267;15814
297;1925;192579;19824
298;2305;230507;23300
299;570;57028;5628
300;7325;732508;73124
301;6610;661048;66440
302;4750;475007;47660
303;9430;943018;94887
304;7630;763038;76670
305;2325;232537;23189
306;7050;705018;70702
307;538;53830;5667
308;5060;506068;50400
309;6310;631028;63690
310;6340;634008;63272
311;1935;193507;19760
312;1770;177060;17616
313;574;57458;5284
314;4780;478020;47980
315;2345;234538;23855
316;2720;272048;27135
317;8640;864007;86573
318;530;53010;5885
319;810;81001;8573
320;7605;760507;76892
321;7040;704018;70124
322;7625;762501;76497
323;2500;250020;25286
324;564;56470;5642
325;6810;681002;68276
326;4430;443049;44078
327;518;51857;5237
328;8510;851070;85225
329;820;82001;8296
330;2000;200008;20001
331;574;57440;5842
332;540;54057;5318
333;5250;525001;52227
334;6835;683587;68522
335;840;84040;8137
336;1119;111961;11001
337;5265;526560;52233
338;7320;732040;73349
339;1905;190517;19130
340;534;53420;5579
341;4440;444057;44110
342;1506;150680;15537
343;6865;686531;68689
344;5260;526007;52036
345;2340;234007;23466
346;4130;413067;41349
347;558;55837;5036
348;9910;991057;99773
349;7030;703058;70429
350;5040;504067;50711
351;528;52848;5031
352;2740;274050;27745
353;8560;856030;85015
354;8530;853038;85325
355;8610;861007;86755
356;2512;251208;25377
357;550;55050;5679
358;5250;525037;52612
359;1905;190547;19548
360;6825;682527;68502
361;510;51020;5079
362;1710;171020;17272
363;5050;505008;50330
364;9720;972047;97666
365;1502;150220;15500
366;5070;507019;50680
367;2040;204067;20383
368;9130;913050;91530
369;1506;150640;15087
370;1935;193550;19622
371;1538;153847;15808
372;6600;660001;66001
373;9400;940001;94001
374;540;54038;5148
375;7615;761501;76246
376;6820;682001;68669
377;9730;973048;97777
378;514;51427;5086
379;7030;703038;70771
380;4780;478001;47189
381;6830;683049;68770
382;7600;760009;76001
383;5400;540008;54001
384;1930;193001;19585
385;2538;253840;25885
386;568;56838;5847
387;2520;252040;25120
388;5410;541057;54599
389;9440;944057;94663
390;2760;276018;27372
391;7300;730006;73001
392;510;51054;5088
393;5265;526567;52233
394;5275;527589;52473
395;2760;276030;27075
396;2538;253847;25885
397;2504;250407;25200
398;4180;418077;41668
399;4180;418067;41668
400;1720;172027;17013
401;4700;470009;47001
402;1940;194080;19022
403;6860;686058;68190
404;2506;250630;25779
405;7335;733547;73319
406;1740;174008;17662
407;8510;851030;85315
408;1504;150462;15238
409;6855;685507;68720
410;7620;762017;76041
411;1518;151801;15550
412;6320;632060;63548
413;6830;683061;68245
414;4730;473029;47318
415;4150;415008;41797
416;1109;110911;11001
417;5220;522048;52381
418;2522;252247;25743
419;5250;525069;52435
420;5000;500003;50001
421;4130;413001;41615
422;5070;507008;50006
423;1552;155219;15572
424;4750;475057;47798
425;5255;525529;52838
426;7030;703070;70265
427;6855;685561;68861
428;2310;231048;23417
429;1320;132057;13244
430;1542;154269;15469
431;4160;416067;41396
432;2510;251020;25295
