noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
233;VIA RETIRO-L. U.-VERSALLES;MUNICIPIO ABEJORRAL;MPIO. LA CEJA Y ABEJORRAL;MPIO. SANTA BARBARA;Rural;Sin Informacion de Barrios;Agua detal- Alto Bonito-  Buena Vista-  Cabecera Municipal-  Camino a la Planta-  Caunzal-  El Carmelo-  El Olival-  El Socorro-  El Tablazo-  Encenillo-  Getsemani-  La Camelia-  La Galana-  La Granja-  La Inmaculada-  La Loma-  La Miel-  La Peña-  La Qu;5467;5
1350;M. MANAURTE Y RÍO (PERMANENTE);MPIO. A. CODAZZI;PAÍS VENEZUELA;M. SAN DIEGO- VALLE. Y EL PASO;Rural;Sin Informacion de Barrios;Cañada- Casa Grande-  El Cinco-  El Rincon-  Media Luna-  Nuevas Flores-  Sabanas de León-  San Antonio-  Tocaimo;20621;20
2063;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;44378;44
2292;MUNICIPIO CHACHAGUI;LIMITE URBANO;VIA PASTAO - CHACHAGUI;RIO PERMANENTE;Rural;Sin Informacion de Barrios;Robles;52001;52
1290;RÍO (PERMANENTE);MPIO. LA CRUZ Y SANTA ROSA;RÍO DANTAS;RÍO (PERMANEN.) Y M. SAN PABLO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19100;19
2821;MPIO. MOGOTES Y MOLAGAVITA;MUNICIPIO ONZAGA;MUNICIPIO ONZAGA;MUNICIPIO MOGOTES;Rural;Sin Informacion de Barrios;Cabecera Municipal- Higuerones-  Menepa-  Panamá-  San Agustín-  San Antonio-  San Cayetano-  San Emigdio-  San Isidro-  San José-  San Juan Nepomuceno-  San Roque-  Santa Bárbara-  Santa Clara-  Vega de Infante;68682;68
2034;VIA MATITA - LAS FLORES;MUNICIPIO SAN J. DEL C.;RÍO TAPIAS Y SAN FCO.;MUNICIPIO DIBULLA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44001;44
1480;LIMITE URBANO;CL 20 S;KR 2A;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;23555;23
526;AK  27;AK CARACAS;AC  1 DE MAYO;CL 46A S  Y  47A S;Urbano;Bravo Páez- Centenario- Claret- Inglés- Libertador- Murillo Toro- Olaya- Quiroga- Quiroga Central- Quiroga Sur- Santa Lucía- Santiago Pérez- Villa Mayor;Sin Informacion de Veredas;11001;11
1807;MUNICIPIO TOPAIPÍ;MPIO. NIMAIMA Y VERGARA;MUNICIPIO PACHO;MPIO. LA PALMA Y LA PEÑA;Rural;Sin Informacion de Barrios;APOSENTOS- BUNQUE-  BUNQUE-  CHAPA ALTA-  CHAPA COCLI-  CHAPILLA-  CURICHE-  EL RODEO-  GUAMAL-  Guatama-  HONDURAS-  INSULA-  JAGUAL MATECAÑA-  PEÑONCITO-  PISCO CHIQUITO-  PISCO GRANDE-  QUITASON-  RAUCHAL-  SABANETA-  SAN ISIDRO-  TAUCHA-  TENDIDOS-  T;25258;25
1351;KR 1;KR 20;CL 8;CL 2;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;20750;20
986;MUNICIPIO BOLIVAR;MUNICIPIO BOLIVAR;MUNICIPIO BOLIVAR;Q. DOS QUEBRADAS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15572;15
2831;CL 7;LIMITE URBANO;LIMITE URBANO;KR 5;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Centro;68264;68
1760;VIA LA VEGA-SASAIMA-STA. INES;MUNICIPIO FACATATIVA;MUNICIPIO LA VEGA;MUNICIPI ALBÁN;Rural;Sin Informacion de Barrios;ACUARA- BUENOS AIRES-  BULUCAIMA-  CENTRO-  El Balsal-  El Cajón-  EL ENTABLE-  EL ENTABLE-  EL MOJON-  GUAYACUNDO-  GUAYACUNDO ALTO-  GUAYACUNDO BAJO-  ILO-  Ilo Grande-  La Concepción-  LA GRANJA-  LA HUERTA-  LA PAZ-  LAS MARIAS-  LAS MERCEDES-  LIMONA;25718;25
336;MUNICIPIO PEQUE;QUEBRADA LA CLARA;M. PEQUE Y SABANALARGA;MUNICIPIO CAÑASGORDAS;Rural;Sin Informacion de Barrios;El Agrio- El León-  El Retiro-  El Siento-  Guadal-  La Candelaria-  La Cordillera-  La Loma El Sauce-  La Manga-  La Vega-  Las Brisas-  Las Cuatro-  Llano Chiquito-  Llanos de Urarco-  Madera-  Palenque-  San José de Juntas-  San Luis de Juntas-  Santa;5113;5
3591;MPIO. INÍRIDA Y CAÑO ARZAMASA;MPIO. PANA PANA Y RÍO GUAINÍA;RÍO GUAINÍA;MUNICIPIO INÍRIDA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;94884;94
2331;MUNICIPIO COLÓN;MUNICIPIO SAN BERNARDO;MUNICIPIO LA CRUZ;MPIO. LA UNIÓN Y COLÓN;Rural;Sin Informacion de Barrios;Campo de María Alto- Palma Chiquita-  Palma Grande-  San Antonio;52083;52
1638;RÍO GAZAMUNO;MUNICIPIO CUMARAL;MPIO. PARATEBUENO;M. RESTREPO Y SAN JUANITO;Rural;Sin Informacion de Barrios;ARENALES CENTRO- BELLAVISTA-  CHORRENANO-  EL RETIRO (LA BODEGA)-  EL TABLON-  EL VAINILLO (SAN ANTONIO DE LOS M.)-  GAZATAVENA CENTRO-  GUAJARAY CENTRO-  HUMEA-  JAPON-  LA ARGENTINA-  LA ESMERALDA-  LA ESPERANZA-  LA SERRANA-  LA ZARZA-  LOS ALPES CENTR;25438;25
819;MUNICIPIO CUITIVA;QUEBRADA SISVACA;VÍA AQUITANIA - CHAMEZA;MUNICIPIO TOTA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15047;15
1733;MUNICIPIO ANOLAIMA;MUNICIPIO LA MESA;MUNICIPIO ZIPACÓN;MUNICIPIO QUIPILE;Rural;Sin Informacion de Barrios;ALTO DEL FRISOL- BAIVEN-  CALNDAIMA BAJA-  CAMPO SANTO-  CATALINA ALTA-  CATALINA BAJA-  EL ESPINAL-  EL LIMONAL-  EL OCASO-  LA CANDELARIA-  LA JOYA-  LA LAGUNA-  LA UCHUTA-  LA VEGA-  MARGARITA-  NARANJAL-  PALOQUEMAO-  PEÑA NEGRA-  RECEBERA-  SAN ANTON;25123;25
1398;MPIO. PTO. ESCONDIDO Y SAN PELAYO;VÍA MONTERIA-PUERTO REY;VÍA SANTA LUCIA-BUENOS AIRES;MPIO. PTO. ESCONDIDO Y LAS CORDOBAS;Rural;Sin Informacion de Barrios;Aguas Vivas- Cucharal-  El Tigre-  La Lucha-  Morindó Central-  Morindó Santa Fe-  Morindó Santo Domingo;23001;23
1154;LIMITE URBANO;LIMITE URBANO;KR 3;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;19548;19
1914;MUNICIPIO TELLO;VÍA NEIVA-SAN ANTONIO;MUNICIPIO TELLO;VÍA NEIVA-FORTALECILLAS;Rural;Sin Informacion de Barrios;Fortalecillas- FORTALECILLAS-  La Jagua-  LA JAGUA-  La Mata-  La Mojarra-  Llanitos-  MESA DEL TRAPICHE-  SAN ANTONIO-  SIERRA-  Venadito-  Venado;41001;41
