noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
3003;M. LA ESPE.- CACHI. Y RÍO CÁCHI.;M. LEBRIJA Y RÍO CÁCHI. DEL SUR;MUNICIPIO EL PLAYÓN;MUNICIPIO SABANA DE TORRES;Rural;Sin Informacion de Barrios;Caribe- Irlanda-  Puerto Limón-  Villa Eva-  Bocas;68615;68
3089;KR 2;LIMITE URBANO;CL 1;LIMITE URBANO;Urbano;6 de Enero- Calle Nueva- Villa María;Sin Informacion de Veredas;70204;70
183;VIA SAN VICENTE - CONCEPCION;M. MARINILLA Y RÍO NEGRO;MUNICIPIO PEÑOL;MUNICIPIO GUARNE;Rural;Sin Informacion de Barrios;Compañia Abajo- El Canelo-  El Carmelo-  La Cabaña-  La Peña-  Piedra Gorda-  Salto Arriba;5674;5
2089;MAR CARIBE;VÍA RIOHACHA-SANTA MARTA;MUNICIPIO RIOHACHA;VÍA CASA DE ALUMINIO-MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44090;44
877;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15621;15
2129;MUNICIPIO SANTA ANA;M. ASTREA Y SAN SEBAS. DE BUENAVIS.;MUNICIPIO EL PASO;RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Casa Blanca- San Jose de Prevension;47545;47
1765;MUNICIPIO UTICA;MUNICIPIO VILLETA;MUNICIPIO NIMAIMA;MUNICIPIO GUADUAS;Rural;Sin Informacion de Barrios;Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro;25592;25
228;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Alto de Letras;5002;5
745;MPIO. TIPACOQUE;MUNICIPIO SUSACÓN;MUNICIPIO BOAVITA;MUNICIPIO ONZAGA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande;15753;15
2248;RÍO GUEJAR- CAÑO TUBO Y CACHAMA;MPIO. SAN J. DEL GAVIARE;MUNICIPIO PUERTO RICO;MUNICIPIO LA MACARENA;Rural;Sin Informacion de Barrios;Angoleta- Argentina-  Bajo Vergel-  Brisas del Guejar-  Cachicamo-  Charcon-  Puerto Nuevo;50711;50
3190;MUNICIPIO NILO;MUNICIPIO CUNDAY;MUNICIPIO ICONONZO;MPIO. CARMEN DE APICALÁ;Rural;Sin Informacion de Barrios;Buenavista- Calcuta-  Cualamaná-  El Águila-  El Águila Baja-  El Floral-  Inalí-  La Primavera;73449;73
68;MUNICIPIO BELMIRA;M. SAN PEDRO DE LOS MI.;M. STA ROSA DE OSOS;MUNICIPIO BELMIRA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cucurucho-  El Botón-  El Peñol-  El Progreso-  Embalse Río Grande-  La Muñoz-  La Planta-  Las Brisas-  Los Salados-  Orobajo Río Grande-  Pío XII-  Quebrada del Medio-  Río Chico-  Río Grande-  Riochico-  Tesorero-  Verbenal;5264;5
1185;VÍA S/DER. DE QUILICHAO-NATALA;M. S. DE QUILICHAO Y JAMBALÓ;M. JAMBALÓ Y TORIBÍO;MPIO. S. DE QUILICHAO;Rural;Sin Informacion de Barrios;Altamira- Campo Alegre-  Carpintero-  Dominga Alta-  El Arrayán-  El Chocho-  El Poblado-  El Socorro-  Guadualito-  Guataba-  Huellas-  La Buitrera-  La Estrella-  La Guinea-  La Palma-  La Pila-  La Placa-  Loma Gruesa-  Loma Pelada-  Los Chorros-  Los;19142;19
2226;MPIO. FUENTE DE ORO;MUNICIPIO PUERTO RICO;RÍO ARIARI;M. SAN J. DE ARAMA Y VISTAHERMOSA;Rural;Sin Informacion de Barrios;Brasilia- Campo Alegre-  Cano Rayado-  Caribe-  Charco 16-  Fundadores-  Primavera;50577;50
29;CL  47D  Y  KR  96;CL 32- 31B  Y  31D;KR  81 Y  80;KR 106A- 93  Y  LIM URB;Urbano;Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar;Sin Informacion de Veredas;5001;5
344;MUNICIPIO URAMITA;RÍO CAÑAS G. Y RELIEVE M.;MUNICIPIO BURITICÁ;MUNICIPIO URAMITA;Rural;Sin Informacion de Barrios;Alto de la Aldea- Caracolal-  Cestillal-  Chupadero-  Cumbarrá-  El Socorro-  La Aguada-  La Curva-  La Loma-  San Luis del Café-  San Miguel-  San Pascual-  Santo Cristo-  Uvital;5138;5
3540;LIMITE URBANO;SAN LUIS;MAR CARIBE;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;88001;88
1435;LIMITE URBANO;LIMITE URBANO;CL 12 E;LIMITE URBANO;Urbano;Bejiga- Calle Central- Campano- Cardales- Cervella- El Panteón- La Esperanza- Las Flores- Minuto de Dios- Miramar- Nueva Esperanza- Nueve de Junio- Obrero- Paraíso- Pata de Vaca- Petare- Polo Norte- Sagrado Corazón- Sierra Morena;Bijaito;23672;23
2523;MUNICIPIO FRANCISCO PIZARRO;QUEBRADA;MUNICIPIO ROBERTO PAYAN;OCEANO PACIFICO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52835;52
2023;VÍA ISNOS-PURACÉ;VÍA ISNOS-SAN AGUSTÍN;VÍA ISNOS-PURACÉ;MPIO. SAN AGUSTÍN;Rural;Sin Informacion de Barrios;AGUADAS- ALTO JUNIN-  BAJO JUNIN-  BETANIA-  CAPILLAS-  DIAMANTE-  DIAMANTE-  GRANADA-  GUACAS-  IDOLOS-  MARBELLA-  OBANDO-  PALMAR-  PALMEIRAS-  PEÑAS BLANCAS-  PLATANARES-  PLATANARES-  PORVENIR-  RODDRIGO LARA-  RODDRIGO LARA-  SALEM-  TIGRE;41359;41
2241;MPIO. GRANADA Y SAN MARTÍN;RÍO ARIARI Y M. PTO. LLERAS;MUNICIPIO SAN MARTÍN;RÍO ARIARI;Rural;Sin Informacion de Barrios;Alto Iraca- De Bolívar;50287;50
1963;LIMITE URBANO;LIMITE URBANO;KR 1;KR 11;Urbano;Sin Informacion de Barrios;Bajo Buena Vista- Cabecera Municipal-  La Galda;41013;41
3168;MPIO. IBAGUÉ Y PIEDRAS;MUNICIPIO ESPINAL;VÍA COELLO-DOIMA;MPIO. SAN LUIS Y ESPINAL;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;73200;73
2415;MUNICIPIO SAPUYES;M. CUASPUD- ALDA. Y PUPIALES;M. SAPUYES Y PUPIALES;RÍO SAPUYES;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52317;52
519;AC  63;DG  22A;AK  30;AK  68;Urbano;Acevedo Tejada- Campo Eucarístico- Campín Occidental- Centro Administrativo Occ- Centro Nariño- Ciudad Salitre Nor-Oriental- Ciudad Salitre Sur-Oriental- Ciudad Universitaria- El Recuerdo- El Salitre- Gran América- La Esmeralda- Nicolás de Federman- Pablo;Sin Informacion de Veredas;11001;11
2632;MUNICIPIO TEORAMA;MPIO. OCAÑA Y LA PLAYA;M. HACARÍ Y Q/DA. SAN MIGUEL;MUNICIPIO TEORAMA;Rural;Sin Informacion de Barrios;El Limon- El Oso-  El Pantano-  Estrella Alta-  Estrella Baja-  Farache-  Guaranao-  Limites-  Los Angeles-  Piedra de Moler-  Vijagual;54670;54
3094;LIMITE URBANO;KR 5;CL 70;CL 60 Y LIMITE URBANO;Urbano;Sin Informacion de Barrios;Bellavista- El Triunfo-  La Pedreguera;73001;73
763;MUNICIPIO CUBARA;M. MACARAVITA Y EL ESPINO;M. MUNICIPIO GÛICAN;MUNICIPIO CARCASI;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15180;15
2833;RÍO GUACHA;M. CHARA.- DUITA. Y STA. R. DE V.;MPIO. CERINZA Y BELEN;RÍO LA RUSIA;Rural;Sin Informacion de Barrios;Avendaño- Avendaños-  Cabuya-  Cañada-  Centro-  Chapa-  El Carmen-  El Hato-  La Meseta-  Martinez Peña-  Patios Altos-  Patios Bajos-  Piedras Blancas-  Rionegro;68264;68
1326;MUNICIPIO SAN J. DEL CESAR;RIO AZUCAR BUENO;M. VILLANUE.- LA J. DEL PI. Y SAN D.;VIA BOSC.-VALLED.-SAN J. DEL C.;Rural;Sin Informacion de Barrios;EL ENEAL- LOS SANJONES-  SAN JERONIMO;20001;20
67;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;CL 14;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5264;5
3271;AK TEQUENDAMA Y KR 44;AK GUADALUPE;CL  25;CL  5;Urbano;Cañaverales - Los Samanes- Camino Real - Los Fundadores- Departamental- Jorge Zawadsky- La Selva- Las Granjas- Nueva Tequendama- Panamericano- Primero de Mayo- San Judas Tadeo I- Santo Domingo- Unidad Residencial Santiago de Cali- Urbanización Militar;Sin Informacion de Veredas;76001;76
589;MUNICIPIO ARJONA;MUNICIPIO SAN ONOFRE;VIA PUEBLO NUEVO-CORREA;MUNICIPIO SAN ONOFRE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13442;13
1189;MUNICIPIO PUERTO TEJADA;VÍA VILLA RICA-PADILLA;MUNICIPIO PADILLA;MUNICIPIO VILLA RICA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19142;19
1784;MPIO. NIMAIMA Y VERGARA;M. SASAIMA Y LA VEGA;MPIO. LA VEGA Y VERGARA;MPIO. NIMAIMA Y VILLETA;Rural;Sin Informacion de Barrios;Alto de Pajas- Baquero-  Cabecera Municipal-  CALAMO-  Cañutal-  Centro-  CHAGUANI-  Chonte Grande-  Cocunche-  El Fiscal-  El Tigre-  GUARUMAL-  Jagual-  La Florida-  La Montaña-  Las Mercedes-  Lauta-  LOMA LARGA-  Lomalarga-  Naranjal-  Naranjal-  RESG;25491;25
413;CL 4;LIMITE URBANO;KR 29;KR 5;Urbano;1 de Enero- Caldas- El Porvenir- España- Góngora- Guayabal- La Candelaria- La Esperanza- Las Américas- Las Margaritas- Loma Fresca- Manzanares- Once de Noviembre- Pinique- Primavera- San Cayetano- San José- Santa Helena- Topacio- Veinte de Julio- Villa An;Sin Informacion de Veredas;8078;8
286;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5145;5
1857;M. EL CANTÓN DE S. P.- UNIÓN PA. Y TADÓ;Q/DA. DIPURDÚ DEL GUASIMO;M. RÍO IRO- MEDIO SAN J. Y CONDOTO;MUNICIPIO MEDIO BAUDO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27361;27
2198;CL 13;CL 1;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana;50110;50
2481;Q/DA. PULBUZA Y RÍO (PERMANENTE);MUNICIPIO MAGÜI;MPIO. STA. BÁRBARA Y RÍO (PERMA.);MUNICIPIO LA TOLA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52250;52
296;MUNICIPIO BÉTULIA;MPIO. SALGAR Y VENECIA;MPIO. ARMENIA Y TITIRIBI;MPIO. SALGAR Y URRAO;Rural;Sin Informacion de Barrios;Bolombolo- Burgos-  Cabecera Municipal-  Caunzal-  El Cascajo-  El Chocho-  El Concilio-  El Golpe-  El León-  El Socorro-  Higuerón-  La Botija-  La Comia-  La Costa-  La Cristalina-  La Fotuta-  La Padilla-  La Raya-  La Selva-  La Sucia-  La Sucre-  La;5209;5
1700;CL 9;DG 2 S;KR 0;KR 8B;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25797;25
2438;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;52720;52
1908;LIMITE URBANO;CL 23 Y KR 49;LIMITE URBANO;CL  25A;Urbano;Alberto Yepes- Antonio Nariño- Camino Real- Campo Real- Ciudad Salitre- Ciudadela Antonio Baraya- El Oasis- El Pedregal- El Triunfo- Enrique Olaya Herrera- Granja San Bernardo- Katakandru- La Amistad- La Palma II Etapa- La Pradera- La Rioja- La Victoria-;Sin Informacion de Veredas;41001;41
2192;AK 40 Y KR 33;RIO OCOA  Y  LIM URB;KR  22;KR 48 Y VIA P/LELA C. TIGRE;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;50001;50
914;CL 8;CL 0;KR 0;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15638;15
2478;CL 5 S;LIMITE URBANO;KR 5;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;52250;52
989;VÍA (AFIRMADA);MUNICIPIO YACOPI;VÍA OTANCHE - PUERTO TRIUNFO;CAÑO EL ABEJORRO;Rural;Sin Informacion de Barrios;CACERES- EL MORRO-  La Pizarra;15572;15
203;MUNICIPIO SAN CARLOS;MUNICIPIO SAN FRANCISCO;RÍO CALDERA;M. GRANADA Y COCORNA;Rural;Sin Informacion de Barrios;Boqueron- Cabecera Municipal-  Comejenes-  Cuba-  El Cruce-  El Jordán-  El Olivo-  El Pescado-  El Popal-  El Silencio-  El Socorro-  El Tagual-  El Tricua-  La Aurora-  La Garrucha-  La Habana-  La India-  La Lora-  La Palmera-  La Tebaida-  Manizales-;5660;5
1008;LIMITE URBANO;LIMITE URBANO;KR 9;KR 1;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;17653;17
3485;CL 28A;CL 7S;KR 1 E;KR 15;Urbano;Bello Horizonte- Bosque- Brisas del Agua Clara- Brisas del Upía- Brisas del Upía 2- Centro- Fundadores- Morichal- Panorama- Paraíso- Progreso- Villa Clara- Villaluz;Caracoli- La Colmena-  La Libertad;85440;85
2032;RÍO RANCHERIA;VIA ALBANIA - MATITA;RÍO RANCHERIA;VIA RIOHACHA - MATITA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44001;44
3634;RÍO VAUPÉS;MUNICIPIO PACOA;MPIO. YAVARATE Y PAÍS BRASIL;MUNICIPIO CARURU;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;97001;97
2598;MUNICIPIO SARDINATA;MUNICIPIO GRAMALOTE;MUNICIPIO GRAMALOTE;MPIO. VILLA CARO Y BUCARASICA;Rural;Sin Informacion de Barrios;Balcones- Cabecera Municipal-  Camporico-  Carmen-  Corazones-  El Silicio-  Fátima-  Filo Seco-  Helechal-  La Alianza-  La Armenia-  La Miel-  La Pajulia-  La Primavera-  Las Brisas-  Las Mercedes-  Los Pinos-  Moyitas-  Pío XII-  San Antonio-  San Isid;54418;54
1083;LIMITE MUNICIPAL;VIA MORELIA - FLORENCIA;RIO HACHA;RÍO BODOQUERO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;18001;18
2876;CL 15;CL 3;KR 4;KR 7;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Salitre;68209;68
3075;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;12 de Octubre- 7 de Agosto- 9 de Marzo- Balcones Del Río- Barranquillita- El Campano- El Carmen- Fátima- Gustavo Dajer- La Balsa- La Palma- Las Colinas- Las Flores- Las Mercedes- Millán Vargas- Pera Alonso- Sampumas- San José- San Juan de Dios- Santa Mart;Sin Informacion de Veredas;70670;70
1256;MUNICIPIO LOPEZ;RÍO (PERMANENTE);RÍO (PERMANENTE);MUNICIPIO LOPEZ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19256;19
48;MUNICIPIO DON MATIAS;LIMITE URBANO;MUNICIPIO BARBOSA;MUNICIPIO COPACABANA;Rural;Sin Informacion de Barrios;El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito;5308;5
2698;MPIO. MARSELLA Y SANTA RO. DE CABAL;LIMITE URBANO;MPIO. SANTA ROSA DE CABAL;MUNICIPIO PEREIRA;Rural;Sin Informacion de Barrios;Alto Erazo- El Nudo-  El Sinai-  El Tobanito-  Estanquillo-  La Argentina-  La Cima-  La Esperanza-  La Esperanza-  La Fría-  La Palma-  La Unión-  Llano Grande-  Minas del Socorro-  Nueva Independencia-  Pital de Combia-  Santana;66170;66
239;RÍO CAUCA;MUNICIPIO VALPARAISO;MUNICIPIO AGUADAS;MUNICIPIO TAMESIS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5390;5
2396;MPIO. IPIALES Y CORDOBA;MUNICIPIO IPIALES;RÍO SAN FRANCISCO;QUEBRADA YAMUESQUER;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52560;52
2689;AK 30 AGO - KR 13;LIMITE URBANO;CL  17;CL 51 -SANJÓN LA UNIÓN;Urbano;Alcazar de Maraya- Altos de Tanambi- Balcones Villa del Prado- Barajas Central- Barajas I- Barajas II- Belalcázar- Bloques Ciudad Pereira- Bosque de La Salle- Boston- Brasilia- Brisas de Las Américas- Cachipay- Caminos de Maraya- Casas Tulcán- Centenario-;Naranjito;66001;66
2531;LIMITE URBANO;CL 6 Y 7E;LIMITE URBANO;AK  2E;Urbano;13 de Marzo- Bocono- Caña Fistolo- El Higuerón- Heliópolis- La Alameda- La Isla de La Fantasía- La Quinta- La Unión- Nuebo Escobal- Pamplonita- Prados del Este- Santa Clara- Terranova- Urbanización San Martín- Urbanización San Martín 2- Viejo Escobal- Vil;El Palmar;54001;54
401;MAR CA. Y M. B/QUILLA;VIA B/QUILLA-PTO. COL.;MPIO. B/QUILLA;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8573;8
3063;CL 3;CL 15A;CL 14 C;CL 8;Urbano;Avenida Núñez- Betania- Doce de Marzo- La Paz- Las Brisas- Los Cayitos- Nuevo- Paralibio- Pueblo Nuevo- San Antonio- San Mateo- San Pedro- Santa Fé- Santander- Santo Domingo- Urbanización San Antonio;Sin Informacion de Veredas;70400;70
1344;VÍA EL BANCO-CHIMI. Y CIÉNA. EL RUBIO;MUNICIPIO PAILITAS Y TAMALAMEQUE;MPIO. EL CARMEN Y CURUMANI;MUNICIPIO EL BANCO;Rural;Sin Informacion de Barrios;Campo Alegre- Chinela-  Dos Brazos-  Hoja Ancha-  La Conquista No 2-  La Luna Sector 1-  La Morrocoya-  Las Tijeras-  Villa Colón;20175;20
3435;LIMITE URBANO  Y  RIO CRAVO SUR;CL  24;LIMITE URBANO;LIMITE URBANO Y RIO CHARTE;Urbano;1 de Mayo- Bello Horizonte- Bicentenario- Bon Habitat- Brisas del Cravo- Caribabare- Dalel Barón- Ejército Nacional- El Alcaravan- El Bosque- El Brosquero- El Centro- El Gaván- El Libertador- El Remanso I- El Salitre- El Yarumo- Juan Pablo- La Amistad- La;Sin Informacion de Veredas;85001;85
2356;MUNICIPIO TAMINANGO;VÍA EL PEÑOL-MATITUY;M. CHACHAGÜI Y LA FLORIDA;MUNICIPIO EL PEÑOL;Rural;Sin Informacion de Barrios;Capuli de Minas- Las Azogues-  LLano Largo-  Méjico-  Placer-  Ricaurte;52260;52
556;CL  30 Y 31;TV  54;DG 30 Y TV 50;DG  22;Urbano;Altos de San Isidro- Amberes- Armenia- Bosquecito- Brucelas- El Prado- España- José Antonio Galán- Juan XXIII- Junín- Las Brisas- Los Cerros- Nueva Granada- Nueve de Abril- Nuevo Bosque- Paraguay- Piedra de Bolívar- República de Chile- San Isidro;Sin Informacion de Veredas;13001;13
2942;M. VELEZ Y STA. H. DE OPÓN;VÍA AGUADA-LA PAZ Y RÍO (PER.);M. AGUA.- EL GUACA. Y STA. H. OP.;MUNICIPIO VELEZ;Rural;Sin Informacion de Barrios;Los Medios;68397;68
620;MUNICIPIO MOMPOS;MUNICIPIO ACHÍ;MUNICIPIO PINILLOS;MUNICIPIO SUCRE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13430;13
2989;RIO PERMANENTE;M. SAN VICENTE DE CHUCURI;M. SABANA DE TORRES;QUEBRADA VIZCAÍNA;Rural;Sin Informacion de Barrios;ALBANIA;68081;68
1339;RÍO CESAR Y MPIO. BECERRIL;MUNICIPIO CHIRIGUANÁ;MPIO. LA JAGUA DE IBIRICO;MUNICIPIO ASTREA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;20250;20
820;QUEBRADA SISVACA;M. SAN EDUARDO Y PAEZ;MUNICIPIO CHAMEZA;M. RONDON Y ZETAQUIRA;Rural;Sin Informacion de Barrios;Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia;15047;15
1693;MUNICIPIO TOCAIMA;MUNICIPIO MELGAR Y NILO;M. AGUA DE D. Y NILO;M. GIRARDOT Y LIMITE URBANO;Rural;Sin Informacion de Barrios;BARZALOZA- BERLING-  CAJON-  Callejón-  Casablanca-  COBOS-  Cumaca-  EL HOBAL-  El Portal-  La Apicalá-  LA BALSITA-  La Carrera-  LA PALMITA-  LA SONORA-  La Virginia-  LLano Pozo-  MALACIA-  Manuel Norte-  MANUEL NORTE-  PIAMONTE-  PRESIDENTE-  PUBENZA;25612;25
3039;MUNICIPIO CORDOBA;MPIO. SAN LUIS DE SINCE;MUNICIPIO MAGANGUÉ;MPIO. SAN PEDRO Y SAN LUIS DE SINCE;Rural;Sin Informacion de Barrios;Granada- La Vivienda-  Numancia-  San José de Las Palmas-  San Mateo;70110;70
2021;MPIO. SALADOBLANCO;M. SAN AGUSTÍN Y PITALITO;MUNICIPIO PITALITO;VÍA EL S. DE BORDONES-ISNOS-SAN AGUS.;Rural;Sin Informacion de Barrios;A MONDEGAL- BAJO MONDEGAL-  BELLAVISTA-  C. CHIQUITA-  CAMPOALEGRE-  EL CARMEN-  EL CARMEN-  EL PLAYON-  GUADUALES-  INDEPENDENCIA-  MARQUESA-  MORTIÑO-  PRIMAVERA-  SAN LORENZO-  VICTORIA;41359;41
322;MUNICIPIO ABRIAQUI;MUNICIPIO ANZA;M. SANTA FÉ DE ANTIOQUIA;MUNICIPIO URRAO;Rural;Sin Informacion de Barrios;Alta Vista- Asesi-  Bella Aguada-  Chochal-  El Filo-  El Playon-  El Tambor (Cabecera Municipal)-  La Cortada-  La Manga-  La Noque-  Los Pinos-  Los Sauces;5125;5
3232;MUNICIPIO RONCESVALLES;MUNICIPIO CHAPARRAL;M. ORTEGA Y VÍA SAN ANTO.-VILLA HER.;M. RONCESVALLES Y CHAPARRAL;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cajamarca-Legía-  Carrasposo-  Desierto -Peña Lisa-  El Cural-  El Potro-  El Salado-  El Silencio-  El Vino-  Florida Baja-  La Cristalina-  La Julia-  La Laguna-  Las Delicias-  Las Juntas-  Legía Baja-  Los Lirios-  Lugo Alto-  Mese;73675;73
2849;MPIO. GUAPOTÁ Y CONFINES;RÍO OIBITA Y Q/DA. GUAYANA;Q/DA. GUAYANA Y MPIO. CONFINES;RÍO OIBITA Y MPIO. GUAPOTÁ;Rural;Sin Informacion de Barrios;Agua Fría- Gualilos-  Morario-  San Pedro-  San Pedro;68500;68
390;KR  21;KR  1B;AC BOYACA;AC MURILLO;Urbano;Alboraya- Bella Arena- Boyacá- Buenos Aires- El Campito- El Limón- El Milagro- José Antonio Galán- La Magdalena- La Unión- Las Palmas- Los Laureles- San José- San Nicolás- Tayrona- Universal- Villa Blanca;Sin Informacion de Veredas;8001;8
1342;MPIO. PIJIÑO DEL CARMEN;MUNICIPIO CHIMICHAGUA;VÍA C-. DE ARIGUANI-CHIMICHAGUA;M. SAN S/TIAN. DE BUENAVISTA;Rural;Sin Informacion de Barrios;El Dividivi- Las Plandas-  San Rafael;20032;20
468;AC 72;AC 39;LIMITE URBANO;AK 14;Urbano;Bosque Calderón- Cataluña- Chapinero Central- Chapinero Norte- El Paraíso- Emaus- Granada- Hoya Teusaca- Ingemar- Ingemar Oriental- Ingemar Oriental I- Ingemar Oriental Rural- Juan XXIII- La Salle- Las Acacias- Marly- María Cristina- Pardo Rubio- Quinta C;Sin Informacion de Veredas;11001;11
225;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito;5400;5
1854;MUNICIPIO NOVITA;MUNICIPIO EL CAIRO;MUNICIPIO EL AGUILA;Q/DA. BARRO BLANCO Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27660;27
861;MPIO. LA CAPILLA Y PACHAVITA;MUNICIPIO SUTATENZA;MUNICIPIO GARAGOA;M. LA CAPILLA- TIBIRITA Y GUATEQUE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15798;15
1365;MUNICIPIO CHIRIGUANÁ;MPIO. CHIMICHAGUA Y EL CARMEN;PAÍS VENEZUELA;MUNICIPIO CHIMICHAGUA;Rural;Sin Informacion de Barrios;Bella Vista- Cabecera Municipal-  Caño Grande-  Caño Largo-  Champan-  Dos de Mayo-  El Bolsillo-  El Cocli-  El Espejo-  El Mamey-  El Palmar-  El Triunfo-  Galaxia-  La Carolina-  La Conga-  La Conquista 2-  La Conquista No 1-  La Libertad-  La Mocha-;20228;20
1725;MUNICIPIO JERUSALÉN;M. AGUA DE DIOS Y NILO;MPIO. APULO Y VIOTÁ;VIA JERUSA.-TOCAIM.-AGUA DE D.;Rural;Sin Informacion de Barrios;ARMENIA;25815;25
786;CL 8;LIMITE URBANO;LIMITE URBANO;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15464;15
2091;MAR CARIBE;M.  VALLEDUPAR Y ARACATACA;RÍO ANCHO;MUNICIPIO SANTA MARTA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44090;44
2681;LIMITE URBANO;KR 1;CL 11B;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;63272;63
1264;MUNICIPIO LA SIERRA;RELIEVE MONTAÑOSO;MUNICIPIO SOTARÁ;VÍA LA VEGA-LA SIERRA Y RÍO PUTIS;Rural;Sin Informacion de Barrios;El Cucharro- El Oso-  El Placerderrumbe-  Garay-  La Pintada-  Loma Grande-  Los Planes;19397;19
1935;KR 9;KR 1;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;41676;41
176;MUNICIPIO SAN ROQUE;MUNICIPIO SAN CARLOS;MUNICIPIO SAN ROQUE;MUNICIPIO ALEJANDRIA;Rural;Sin Informacion de Barrios;Agua Bonita- El Chico-  El Diamante-  El Golgota-  La Florida-  La Iraca-  Las Divisas-  Las Flores-  Santa Cruz;5667;5
2733;CL  37N;CL  11;LIMITE URBANO;AV RIO DE ORO;Urbano;Altos del Kennedy- Bosque Norte- Café Madrid- Chapinero- Cinal III Etapa- Colseguros Norte- Comuneros- El Cinar- El Plan- José María Córdoba- Kennedy- La Esperanza I- La Esperanza II- La Esperanza III- La Independencia- La Juventud- Las Hamacas- Las Olas-;Los Santos;68001;68
752;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15673;15
2428;M. RICAURTE Y SANTA CRUZ;RÍO MIRAFLORES Y (PERMANENTE);RÍO (PERMANENTE);MUNICIPIO RICAURTE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52435;52
