noid;zona_postal;codigo_postal;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio
100;6875;687519;M. LA ESPE.- CACHI. Y RÍO CÁCHI.;M. LEBRIJA Y RÍO CÁCHI. DEL SUR;MUNICIPIO EL PLAYÓN;MUNICIPIO SABANA DE TORRES;Rural;Sin Informacion de Barrios;Caribe- Irlanda-  Puerto Limón-  Villa Eva-  Bocas;68615
101;7070;707030;KR 2;LIMITE URBANO;CL 1;LIMITE URBANO;Urbano;6 de Enero- Calle Nueva- Villa María;Sin Informacion de Veredas;70204
102;540;54018;VIA SAN VICENTE - CONCEPCION;M. MARINILLA Y RÍO NEGRO;MUNICIPIO PEÑOL;MUNICIPIO GUARNE;Rural;Sin Informacion de Barrios;Compañia Abajo- El Canelo-  El Carmelo-  La Cabaña-  La Peña-  Piedra Gorda-  Salto Arriba;5674
103;4460;446007;MAR CARIBE;VÍA RIOHACHA-SANTA MARTA;MUNICIPIO RIOHACHA;VÍA CASA DE ALUMINIO-MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44090
104;1534;153420;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15621
105;4740;474048;MUNICIPIO SANTA ANA;M. ASTREA Y SAN SEBAS. DE BUENAVIS.;MUNICIPIO EL PASO;RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Casa Blanca- San Jose de Prevension;47545
106;2534;253427;MUNICIPIO UTICA;MUNICIPIO VILLETA;MUNICIPIO NIMAIMA;MUNICIPIO GUADUAS;Rural;Sin Informacion de Barrios;Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro;25592
107;550;55030;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Alto de Letras;5002
108;1510;151007;MPIO. TIPACOQUE;MUNICIPIO SUSACÓN;MUNICIPIO BOAVITA;MUNICIPIO ONZAGA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande;15753
109;5040;504068;RÍO GUEJAR- CAÑO TUBO Y CACHAMA;MPIO. SAN J. DEL GAVIARE;MUNICIPIO PUERTO RICO;MUNICIPIO LA MACARENA;Rural;Sin Informacion de Barrios;Angoleta- Argentina-  Bajo Vergel-  Brisas del Guejar-  Cachicamo-  Charcon-  Puerto Nuevo;50711
110;7340;734007;MUNICIPIO NILO;MUNICIPIO CUNDAY;MUNICIPIO ICONONZO;MPIO. CARMEN DE APICALÁ;Rural;Sin Informacion de Barrios;Buenavista- Calcuta-  Cualamaná-  El Águila-  El Águila Baja-  El Floral-  Inalí-  La Primavera;73449
111;514;51437;MUNICIPIO BELMIRA;M. SAN PEDRO DE LOS MI.;M. STA ROSA DE OSOS;MUNICIPIO BELMIRA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cucurucho-  El Botón-  El Peñol-  El Progreso-  Embalse Río Grande-  La Muñoz-  La Planta-  Las Brisas-  Los Salados-  Orobajo Río Grande-  Pío XII-  Quebrada del Medio-  Río Chico-  Río Grande-  Riochico-  Tesorero-  Verbenal;5264
112;1910;191077;VÍA S/DER. DE QUILICHAO-NATALA;M. S. DE QUILICHAO Y JAMBALÓ;M. JAMBALÓ Y TORIBÍO;MPIO. S. DE QUILICHAO;Rural;Sin Informacion de Barrios;Altamira- Campo Alegre-  Carpintero-  Dominga Alta-  El Arrayán-  El Chocho-  El Poblado-  El Socorro-  Guadualito-  Guataba-  Huellas-  La Buitrera-  La Estrella-  La Guinea-  La Palma-  La Pila-  La Placa-  Loma Gruesa-  Loma Pelada-  Los Chorros-  Los;19142
113;5030;503008;MPIO. FUENTE DE ORO;MUNICIPIO PUERTO RICO;RÍO ARIARI;M. SAN J. DE ARAMA Y VISTAHERMOSA;Rural;Sin Informacion de Barrios;Brasilia- Campo Alegre-  Cano Rayado-  Caribe-  Charco 16-  Fundadores-  Primavera;50577
114;500;50032;CL  47D  Y  KR  96;CL 32- 31B  Y  31D;KR  81 Y  80;KR 106A- 93  Y  LIM URB;Urbano;Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar;Sin Informacion de Veredas;5001
115;570;57067;MUNICIPIO URAMITA;RÍO CAÑAS G. Y RELIEVE M.;MUNICIPIO BURITICÁ;MUNICIPIO URAMITA;Rural;Sin Informacion de Barrios;Alto de la Aldea- Caracolal-  Cestillal-  Chupadero-  Cumbarrá-  El Socorro-  La Aguada-  La Curva-  La Loma-  San Luis del Café-  San Miguel-  San Pascual-  Santo Cristo-  Uvital;5138
116;8800;880007;LIMITE URBANO;SAN LUIS;MAR CARIBE;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;88001
117;2315;231520;LIMITE URBANO;LIMITE URBANO;CL 12 E;LIMITE URBANO;Urbano;Bejiga- Calle Central- Campano- Cardales- Cervella- El Panteón- La Esperanza- Las Flores- Minuto de Dios- Miramar- Nueva Esperanza- Nueve de Junio- Obrero- Paraíso- Pata de Vaca- Petare- Polo Norte- Sagrado Corazón- Sierra Morena;Bijaito;23672
118;5285;528538;MUNICIPIO FRANCISCO PIZARRO;QUEBRADA;MUNICIPIO ROBERTO PAYAN;OCEANO PACIFICO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52835
